Fuel Type Code,City,State,ZIP_Code,Status Code,EV Level2 EVSE Num,EV DC Fast Count,EV Network,ID,Open Date
ELEC,Palmdale,CA,93551,E,2,0,ChargePoint Network,204397,1/7/2022
ELEC,Deckerville,MI,48427,E,0,1,ChargePoint Network,204400,1/7/2022
ELEC,Natick,MA,01760,E,2,0,ChargePoint Network,204401,1/7/2022
ELEC,Whately,MA,01373,E,2,0,ChargePoint Network,204403,1/7/2022
ELEC,Portland,OR,97209,E,2,0,ChargePoint Network,204404,1/7/2022
ELEC,Deckerville,MI,48427,E,0,1,ChargePoint Network,204405,1/7/2022
ELEC,Boston,MA,02210,E,2,0,ChargePoint Network,204406,1/7/2022
ELEC,Owosso,MI,48867,E,0,1,ChargePoint Network,204407,1/7/2022
ELEC,Aspen,CO,81611,E,2,0,ChargePoint Network,204410,1/7/2022
ELEC,Fresno,CA,93704,E,1,0,ChargePoint Network,204411,1/7/2022
ELEC,Fresno,CA,93704,E,1,0,ChargePoint Network,204412,1/7/2022
ELEC,Fresno,CA,93704,E,1,0,ChargePoint Network,204413,1/7/2022
ELEC,Fresno,CA,93704,E,1,0,ChargePoint Network,204414,1/7/2022
ELEC,Fresno,CA,93704,E,1,0,ChargePoint Network,204415,1/7/2022
ELEC,Fresno,CA,93704,E,1,0,ChargePoint Network,204416,1/7/2022
ELEC,Fresno,CA,93704,E,1,0,ChargePoint Network,204418,1/7/2022
ELEC,Fresno,CA,93704,E,1,0,ChargePoint Network,204419,1/7/2022
ELEC,Fresno,CA,93704,E,1,0,ChargePoint Network,204420,1/7/2022
ELEC,Fresno,CA,93704,E,1,0,ChargePoint Network,204421,1/7/2022
ELEC,Fresno,CA,93704,E,1,0,ChargePoint Network,204422,1/7/2022
ELEC,Fresno,CA,93704,E,1,0,ChargePoint Network,204423,1/7/2022
ELEC,Fresno,CA,93704,E,1,0,ChargePoint Network,204424,1/7/2022
ELEC,Fresno,CA,93704,E,1,0,ChargePoint Network,204425,1/7/2022
ELEC,Fresno,CA,93704,E,1,0,ChargePoint Network,204426,1/7/2022
ELEC,Fresno,CA,93704,E,1,0,ChargePoint Network,204427,1/7/2022
ELEC,Fresno,CA,93704,E,1,0,ChargePoint Network,204428,1/7/2022
ELEC,Fresno,CA,93704,E,1,0,ChargePoint Network,204429,1/7/2022
ELEC,Fresno,CA,93704,E,1,0,ChargePoint Network,204430,1/7/2022
ELEC,Madison,WI,53703,E,2,0,ChargePoint Network,204431,1/7/2022
ELEC,Madison,WI,53703,E,2,0,ChargePoint Network,204432,1/7/2022
ELEC,Madison,WI,53703,E,2,0,ChargePoint Network,204433,1/7/2022
ELEC,Appleton,WI,54911,E,2,0,ChargePoint Network,204434,1/7/2022
ELEC,Fairfield,IA,52556,E,2,0,ChargePoint Network,204440,1/7/2022
ELEC,East Orange,NJ,07018,E,2,0,ChargePoint Network,204449,1/7/2022
ELEC,Cincinnati,OH,45220,E,2,0,ChargePoint Network,204450,1/7/2022
ELEC,Cincinnati,OH,45220,E,2,0,ChargePoint Network,204451,1/7/2022
ELEC,Montgomery,OH,45242,E,2,0,ChargePoint Network,204452,1/7/2022
ELEC,Oxford,OH,45056,E,2,0,ChargePoint Network,204453,1/7/2022
ELEC,Hamilton,OH,45011,E,2,0,ChargePoint Network,204454,1/7/2022
ELEC,Newport News,VA,23606,E,1,0,ChargePoint Network,204455,1/7/2022
ELEC,Friendsville,MD,21531,E,2,0,ChargePoint Network,204457,1/7/2022
ELEC,Xenia,OH,45385,E,2,0,ChargePoint Network,204458,1/7/2022
ELEC,Xenia,OH,45385,E,2,0,ChargePoint Network,204459,1/7/2022
ELEC,Reno,NV,89521,E,2,0,ChargePoint Network,204460,1/7/2022
ELEC,Reno,NV,89521,E,2,0,ChargePoint Network,204461,1/7/2022
ELEC,Reno,NV,89521,E,2,0,ChargePoint Network,204462,1/7/2022
ELEC,Reno,NV,89521,E,2,0,ChargePoint Network,204463,1/7/2022
ELEC,Port Aransas,TX,78373,E,2,0,ChargePoint Network,204464,1/7/2022
ELEC,Port Aransas,TX,78373,E,2,0,ChargePoint Network,204465,1/7/2022
ELEC,Oak Brook,IL,60523,E,2,0,ChargePoint Network,204466,1/7/2022
ELEC,Maumee,OH,43537,E,2,0,ChargePoint Network,204467,1/7/2022
ELEC,San Antonio,TX,78223,E,2,0,ChargePoint Network,204468,1/7/2022
ELEC,San Antonio,TX,78223,E,2,0,ChargePoint Network,204469,1/7/2022
ELEC,Portland,ME,04101,E,2,0,ChargePoint Network,204470,1/7/2022
ELEC,San Mateo,CA,94402,E,0,4,Electrify America,204472,1/7/2022
ELEC,LANCASTER,CA,93536,E,2,0,ChargePoint Network,204485,1/8/2022
ELEC,San Jose,CA,95117,E,2,0,ChargePoint Network,204488,1/8/2022
ELEC,Homerville,GA,31634,E,2,0,ChargePoint Network,204490,1/8/2022
ELEC,Homerville,GA,31634,E,2,0,ChargePoint Network,204491,1/8/2022
ELEC,Lodi,CA,95240,E,2,0,ChargePoint Network,204492,1/8/2022
ELEC,Lodi,CA,95240,E,2,0,ChargePoint Network,204493,1/8/2022
ELEC,San Jose,CA,95117,E,2,0,ChargePoint Network,204494,1/8/2022
ELEC,San Jose,CA,95117,E,1,0,ChargePoint Network,204495,1/8/2022
ELEC,Olympia,WA,98501,E,0,1,ChargePoint Network,204497,1/8/2022
ELEC,Owosso,MI,48867,E,0,1,ChargePoint Network,204499,1/8/2022
ELEC,Yorkville,NY,13495,E,1,0,ChargePoint Network,204500,1/8/2022
ELEC,Yorkville,NY,13495,E,1,0,ChargePoint Network,204501,1/8/2022
ELEC,Auburn,CA,95603,E,0,1,ChargePoint Network,204502,1/8/2022
ELEC,Whitefish,MT,59937,E,0,1,ChargePoint Network,204510,1/8/2022
ELEC,Whitefish,MT,59937,E,0,1,ChargePoint Network,204511,1/8/2022
ELEC,Whitefish,MT,59937,E,0,1,ChargePoint Network,204512,1/8/2022
ELEC,Whitefish,MT,59937,E,2,0,ChargePoint Network,204513,1/8/2022
ELEC,Whitefish,MT,59937,E,0,1,ChargePoint Network,204514,1/8/2022
ELEC,St. Louis,MO,63125,E,2,0,ChargePoint Network,204518,1/8/2022
ELEC,Santa Clara,CA,95054,E,1,0,ChargePoint Network,204519,1/8/2022
ELEC,Los Angeles,CA,90067,E,2,0,ChargePoint Network,204521,1/8/2022
ELEC,Los Angeles,CA,90067,E,2,0,ChargePoint Network,204523,1/8/2022
ELEC,Sacramento,CA,95835,E,1,0,ChargePoint Network,204527,1/8/2022
ELEC,Boston,MA,02118,E,2,0,ChargePoint Network,204528,1/8/2022
ELEC,Newton,MA,02459,E,2,0,ChargePoint Network,204529,1/8/2022
ELEC,Newton,MA,02459,E,2,0,ChargePoint Network,204530,1/8/2022
ELEC,Newton,MA,02459,E,2,0,ChargePoint Network,204531,1/8/2022
ELEC,Newton,MA,02459,E,2,0,ChargePoint Network,204532,1/8/2022
ELEC,Newton,MA,02460,E,2,0,ChargePoint Network,204533,1/8/2022
ELEC,Newton,MA,02460,E,2,0,ChargePoint Network,204534,1/8/2022
ELEC,Newton,MA,02460,E,2,0,ChargePoint Network,204535,1/8/2022
ELEC,Newton,MA,02460,E,2,0,ChargePoint Network,204536,1/8/2022
ELEC,Issaquah,WA,98027,E,2,0,ChargePoint Network,204538,1/10/2022
ELEC,Natick,MA,01760,E,2,0,ChargePoint Network,204571,1/10/2022
ELEC,San Jose,CA,95112,E,2,0,ChargePoint Network,204593,1/11/2022
ELEC,Fort Lauderdale,FL,33301,E,2,0,ChargePoint Network,204595,1/11/2022
ELEC,Fort Lauderdale,FL,33301,E,2,0,ChargePoint Network,204596,1/11/2022
ELEC,Saint Paul,MN,55105,E,2,0,ChargePoint Network,204597,1/11/2022
ELEC,Spartanburg,SC,29306,E,2,0,ChargePoint Network,204598,1/11/2022
ELEC,West Palm Beach,FL,33404,E,2,0,ChargePoint Network,204599,1/11/2022
ELEC,Lawrence,KS,66044,E,2,0,ChargePoint Network,204627,1/11/2022
ELEC,Auburn,CA,95603,E,0,1,ChargePoint Network,204629,1/11/2022
ELEC,Auburn,CA,95603,E,0,1,ChargePoint Network,204630,1/11/2022
ELEC,Riverside,CA,92504,E,2,0,ChargePoint Network,204631,1/11/2022
ELEC,Mechanicsville,MD,20659,E,2,0,SWTCH,204634,1/11/2022
ELEC,Rocky Ridge,MD,21778,E,6,0,Non-Networked,204643,1/11/2022
ELEC,Dublin,OH,43017,E,2,0,Blink Network,204648,1/11/2022
ELEC,Portland,OR,97214,E,2,0,Blink Network,204650,1/12/2022
ELEC,Stowe,VT,05672,E,2,0,ChargePoint Network,204651,1/12/2022
ELEC,North River,NY,12856,E,2,0,ChargePoint Network,204652,1/12/2022
ELEC,North River,NY,12856,E,2,0,ChargePoint Network,204653,1/12/2022
ELEC,Goodlettsville,TN,37072,E,2,0,ChargePoint Network,204654,1/12/2022
