city,state,total_dc_fast_kw,total_level2_kw,stress_score,investment_category
Sparta,WI,0,28,100.0,Critical Opportunity
Jonesboro,GA,400,28,0.2385,Saturated Market
Wesley Chapel,FL,650,77,0.1468,Saturated Market
Portersville (New Castle Area),PA,200,0,0.477,Saturated Market
Nash,TX,1000,0,0.0954,Saturated Market
WINSTON SALEM,NC,50,7,1.9079,High Opportunity
Hyde Park,NY,200,14,0.477,Saturated Market
Monmouth Junction,NJ,600,0,0.159,Saturated Market
Alpine,UT,0,35,100.0,Critical Opportunity
Robstown,TX,800,0,0.1192,Saturated Market
Wilton,NH,0,14,100.0,Critical Opportunity
Texarkana,AR,200,14,0.477,Saturated Market
Albany,MN,200,0,0.477,Saturated Market
Leesburg,FL,300,126,0.318,Saturated Market
Amador City,CA,0,28,100.0,Critical Opportunity
Easton,MD,400,28,0.2385,Saturated Market
Denton County,TX,0,7,100.0,Critical Opportunity
Maggie Valley,NC,0,14,100.0,Critical Opportunity
Sandy,OR,500,56,0.1908,Saturated Market
South Padre Island,TX,0,140,100.0,Critical Opportunity
Upper Marlboro,MD,700,490,0.1363,Saturated Market
Charlottesville,VA,600,350,0.159,Saturated Market
Renfrew,PA,50,28,1.9079,High Opportunity
Moraga,CA,0,14,100.0,Critical Opportunity
Cullman,AL,700,35,0.1363,Saturated Market
Trumbull,CT,800,140,0.1192,Saturated Market
Gardner,MA,250,14,0.3816,Saturated Market
Englewood,NJ,0,154,100.0,Critical Opportunity
West Bloomfield Twp,MI,0,42,100.0,Critical Opportunity
Bonham,TX,100,70,0.954,Stable/Growing
Elizabeth,IL,100,0,0.954,Stable/Growing
St. Johnsbury,VT,100,14,0.954,Stable/Growing
Denton,TX,1600,231,0.0596,Saturated Market
Lakeview,NY,0,14,100.0,Critical Opportunity
Naalehu,HI,100,0,0.954,Stable/Growing
Glenn Heights,TX,0,14,100.0,Critical Opportunity
The Sea Ranch,CA,0,28,100.0,Critical Opportunity
Bristow,VA,0,28,100.0,Critical Opportunity
Waldwick,NJ,100,0,0.954,Stable/Growing
Southaven,MS,600,84,0.159,Saturated Market
Fairmont,WV,450,0,0.212,Saturated Market
Lilburn,GA,100,42,0.954,Stable/Growing
Cadiz,KY,0,14,100.0,Critical Opportunity
Elm Grove,WI,0,56,100.0,Critical Opportunity
CUYAHOGA FALLS,OH,100,0,0.954,Stable/Growing
Selbyville,DE,0,56,100.0,Critical Opportunity
Ardmore,OK,350,49,0.2726,Saturated Market
Weaverville,NC,100,0,0.954,Stable/Growing
Hays,KS,300,42,0.318,Saturated Market
Thomasville,GA,50,0,1.9079,High Opportunity
Niles,IL,500,14,0.1908,Saturated Market
Rye,CO,100,0,0.954,Stable/Growing
Bridgeville,PA,700,0,0.1363,Saturated Market
Drexel Hill,PA,0,56,100.0,Critical Opportunity
Meridian,MS,850,35,0.1122,Saturated Market
Hannibal,MO,200,14,0.477,Saturated Market
Swansea,IL,200,0,0.477,Saturated Market
Mount Sterling,KY,200,0,0.477,Saturated Market
Columbus,GA,800,469,0.1192,Saturated Market
Cherry Hill Township,NJ,200,98,0.477,Saturated Market
Montebello,NY,0,140,100.0,Critical Opportunity
Long Beach,CA,4450,1232,0.0214,Saturated Market
Huntsville,TX,0,28,100.0,Critical Opportunity
Neptune,NJ,0,28,100.0,Critical Opportunity
Wolcott,NY,100,70,0.954,Stable/Growing
Warren,OR,100,14,0.954,Stable/Growing
Teton Village,WY,0,7,100.0,Critical Opportunity
Manchester,CT,650,224,0.1468,Saturated Market
Waikoloa Village,HI,0,14,100.0,Critical Opportunity
Stockbridge,MA,0,28,100.0,Critical Opportunity
Gainesville,TX,600,0,0.159,Saturated Market
New Washington,OH,0,14,100.0,Critical Opportunity
White Salmon,WA,0,21,100.0,Critical Opportunity
Caddo Mills,TX,200,0,0.477,Saturated Market
Planfield,CT,100,0,0.954,Stable/Growing
O Fallon,MO,50,14,1.9079,High Opportunity
Purling,NY,0,28,100.0,Critical Opportunity
Ashland,WI,200,0,0.477,Saturated Market
Warroad,MN,100,14,0.954,Stable/Growing
Garberville,CA,0,14,100.0,Critical Opportunity
Woodland,CA,1900,273,0.0502,Saturated Market
Sylmar,CA,200,63,0.477,Saturated Market
AUGUSTA,ME,0,7,100.0,Critical Opportunity
Harrisville,MI,0,70,100.0,Critical Opportunity
Red Lake,MN,0,84,100.0,Critical Opportunity
Bayside,NY,0,7,100.0,Critical Opportunity
Hart,MI,0,14,100.0,Critical Opportunity
White River Junction,VT,0,154,100.0,Critical Opportunity
Mason City,IA,250,28,0.3816,Saturated Market
Wood Dale,IL,0,14,100.0,Critical Opportunity
Antioch,CA,1500,91,0.0636,Saturated Market
Fort Mitchell,KY,400,0,0.2385,Saturated Market
Wynne,AR,100,0,0.954,Stable/Growing
Osprey,FL,0,70,100.0,Critical Opportunity
Delta,CO,100,42,0.954,Stable/Growing
North Palm Beach,FL,0,14,100.0,Critical Opportunity
Waterloo,IA,200,0,0.477,Saturated Market
Tyngsboro,MA,300,0,0.318,Saturated Market
Deerfield,NH,50,0,1.9079,High Opportunity
Yosemite Valley,CA,0,238,100.0,Critical Opportunity
FARMVILLE,NC,50,0,1.9079,High Opportunity
Mountjoy,PA,0,7,100.0,Critical Opportunity
Milw,WI,0,28,100.0,Critical Opportunity
St. Regis,MT,900,0,0.106,Saturated Market
Hinesville,GA,50,35,1.9079,High Opportunity
Winona,MS,200,0,0.477,Saturated Market
Ashwaubenon,WI,0,28,100.0,Critical Opportunity
Matteson,IL,400,14,0.2385,Saturated Market
Wadesboro,NC,50,0,1.9079,High Opportunity
Cabot,VT,0,14,100.0,Critical Opportunity
Aberdeen,NJ,0,14,100.0,Critical Opportunity
Agoura Hills,CA,1750,161,0.0545,Saturated Market
Campton,NH,0,35,100.0,Critical Opportunity
Charlevoix,MI,0,35,100.0,Critical Opportunity
Southgate,MI,200,98,0.477,Saturated Market
Itasca,IL,0,112,100.0,Critical Opportunity
Makanda,IL,200,0,0.477,Saturated Market
Maybell,CO,200,0,0.477,Saturated Market
La Junta,CO,150,28,0.636,Stable/Growing
Lovettsville,VA,0,70,100.0,Critical Opportunity
Fair Haven,VT,200,14,0.477,Saturated Market
Oconomowoc,WI,350,70,0.2726,Saturated Market
Central City,CO,0,42,100.0,Critical Opportunity
Elmendorf AFB,AK,0,14,100.0,Critical Opportunity
New Holland,OH,0,56,100.0,Critical Opportunity
Nyack,NY,0,98,100.0,Critical Opportunity
Trappe,MD,0,14,100.0,Critical Opportunity
Hamlet,NC,100,0,0.954,Stable/Growing
CARBONDALE,IL,50,14,1.9079,High Opportunity
Covington,IN,100,0,0.954,Stable/Growing
Emporia,VA,400,0,0.2385,Saturated Market
Hammondsport,NY,100,98,0.954,Stable/Growing
Hemet,CA,200,14,0.477,Saturated Market
Los Indios,TX,0,14,100.0,Critical Opportunity
Bellevue,OH,200,0,0.477,Saturated Market
Crystal,MN,0,14,100.0,Critical Opportunity
Brandywine,MD,400,28,0.2385,Saturated Market
Raleigh,NC,2200,2289,0.0434,Saturated Market
Lewes,DE,200,56,0.477,Saturated Market
Hillsboro,TX,1200,70,0.0795,Saturated Market
Mattoon,IL,350,140,0.2726,Saturated Market
Whitehouse station,NJ,50,0,1.9079,High Opportunity
Calistoga,CA,0,84,100.0,Critical Opportunity
Tyler,MN,0,7,100.0,Critical Opportunity
Dacono,CO,300,0,0.318,Saturated Market
Cutler Bay,FL,0,21,100.0,Critical Opportunity
Warren,MI,600,196,0.159,Saturated Market
Crestline,CA,0,7,100.0,Critical Opportunity
Chester,PA,0,70,100.0,Critical Opportunity
Palm Beach,FL,0,63,100.0,Critical Opportunity
Puyallup,WA,1300,301,0.0734,Saturated Market
Belleville,IL,0,35,100.0,Critical Opportunity
Yulee,FL,100,56,0.954,Stable/Growing
Wrentham,MA,500,0,0.1908,Saturated Market
Hughesville,MD,0,28,100.0,Critical Opportunity
Blue Bell,PA,0,28,100.0,Critical Opportunity
Mililani,HI,200,14,0.477,Saturated Market
Grawn,MI,0,7,100.0,Critical Opportunity
Coshocton,OH,0,42,100.0,Critical Opportunity
Bloomfield,IN,0,49,100.0,Critical Opportunity
Concan,TX,0,21,100.0,Critical Opportunity
Hackensack,NJ,700,448,0.1363,Saturated Market
Stony Creek,VA,400,0,0.2385,Saturated Market
St. Marys,PA,0,7,100.0,Critical Opportunity
Waverly,IA,0,14,100.0,Critical Opportunity
Freeport,FL,0,35,100.0,Critical Opportunity
Fair Lawn,NJ,0,7,100.0,Critical Opportunity
White Marsh,MD,200,14,0.477,Saturated Market
Paynesville,MN,0,14,100.0,Critical Opportunity
Van Buren,AR,0,7,100.0,Critical Opportunity
Island Pond,VT,0,7,100.0,Critical Opportunity
Montour Falls,NY,0,28,100.0,Critical Opportunity
Wampsville,NY,0,14,100.0,Critical Opportunity
Cathlamet,WA,50,0,1.9079,High Opportunity
Shillington,PA,200,0,0.477,Saturated Market
Roseau,MN,0,35,100.0,Critical Opportunity
Lake George,NY,0,238,100.0,Critical Opportunity
Norwich,VT,100,42,0.954,Stable/Growing
Kuttawa,KY,400,0,0.2385,Saturated Market
Monroeville,PA,1150,287,0.083,Saturated Market
Federal Way,WA,950,98,0.1004,Saturated Market
Hollywood,CA,400,0,0.2385,Saturated Market
GAFFNEY,SC,50,0,1.9079,High Opportunity
Pinedale,WY,100,0,0.954,Stable/Growing
Fremont,NE,300,0,0.318,Saturated Market
Grove City,PA,100,0,0.954,Stable/Growing
Ellenwood,GA,0,84,100.0,Critical Opportunity
MONTPELIER,VT,100,14,0.954,Stable/Growing
Bedford,NH,50,42,1.9079,High Opportunity
Washington,IN,400,0,0.2385,Saturated Market
Opelousas,LA,600,70,0.159,Saturated Market
Wellston,MI,100,0,0.954,Stable/Growing
Ransomville,NY,100,7,0.954,Stable/Growing
Lyon Charter Township,MI,50,0,1.9079,High Opportunity
Lancaster,PA,550,462,0.1734,Saturated Market
Warren,RI,0,70,100.0,Critical Opportunity
Richmond,VT,100,14,0.954,Stable/Growing
Temple Terrace,FL,50,28,1.9079,High Opportunity
Cross Roads,TX,400,0,0.2385,Saturated Market
Mullens,WV,0,28,100.0,Critical Opportunity
Mora,NM,50,0,1.9079,High Opportunity
Oak Island,NC,0,28,100.0,Critical Opportunity
Crestwood,KY,0,14,100.0,Critical Opportunity
Yuma,AZ,1400,196,0.0681,Saturated Market
Liberty Lake,ID,0,14,100.0,Critical Opportunity
Leander,TX,150,28,0.636,Stable/Growing
Berkeley,CA,1600,175,0.0596,Saturated Market
Delano,MN,50,0,1.9079,High Opportunity
Canton,MI,300,91,0.318,Saturated Market
Danielson,CT,0,14,100.0,Critical Opportunity
Palastine,TX,0,28,100.0,Critical Opportunity
Marysville,OH,150,364,0.636,Stable/Growing
Appleton,WI,850,168,0.1122,Saturated Market
El Campo,TX,400,0,0.2385,Saturated Market
Elysburg,PA,0,56,100.0,Critical Opportunity
Ridgeland,SC,1200,0,0.0795,Saturated Market
Houma,LA,100,56,0.954,Stable/Growing
Bigfork,MN,100,14,0.954,Stable/Growing
Rochester Hills,MI,300,84,0.318,Saturated Market
Hanscom,MA,0,28,100.0,Critical Opportunity
Saukville,WI,100,0,0.954,Stable/Growing
Whitefish Bay,WI,0,28,100.0,Critical Opportunity
San Ramon,CA,1800,455,0.053,Saturated Market
Hull,GA,50,0,1.9079,High Opportunity
Lenoir City,TN,50,28,1.9079,High Opportunity
Evans,CO,0,14,100.0,Critical Opportunity
Hermosa Beach,CA,300,238,0.318,Saturated Market
Burton,MI,0,14,100.0,Critical Opportunity
Eldridge,IA,0,14,100.0,Critical Opportunity
Ballwin,MO,150,35,0.636,Stable/Growing
Greensburg,LA,0,14,100.0,Critical Opportunity
Clinton Township,MI,550,154,0.1734,Saturated Market
Amelia,OH,0,14,100.0,Critical Opportunity
San Leandro,CA,1000,224,0.0954,Saturated Market
Weston,MA,0,175,100.0,Critical Opportunity
Decatur,TX,50,14,1.9079,High Opportunity
Moberly,MO,200,42,0.477,Saturated Market
Palm Desert,CA,200,637,0.477,Saturated Market
Danville,PA,0,70,100.0,Critical Opportunity
Geneva,OH,0,28,100.0,Critical Opportunity
Fort Smith,AR,100,63,0.954,Stable/Growing
South Windsor,CT,800,84,0.1192,Saturated Market
Julian,CA,200,0,0.477,Saturated Market
Coweta,OK,0,14,100.0,Critical Opportunity
Cameron,MO,100,14,0.954,Stable/Growing
Channel View,TX,0,14,100.0,Critical Opportunity
Wellfleet,MA,0,14,100.0,Critical Opportunity
Lincoln City,OR,300,42,0.318,Saturated Market
Chicago Ridge,IL,500,14,0.1908,Saturated Market
Stockbridge,GA,0,98,100.0,Critical Opportunity
Rye Brook,NY,0,14,100.0,Critical Opportunity
Excelsior Springs,MO,0,28,100.0,Critical Opportunity
Lockport,IL,100,91,0.954,Stable/Growing
Aurora,WA,0,7,100.0,Critical Opportunity
Dublin,OH,200,476,0.477,Saturated Market
Tuba City,AZ,0,0,100.0,Critical Opportunity
Sierra Madre,CA,0,14,100.0,Critical Opportunity
South Fork,CO,0,28,100.0,Critical Opportunity
Montgomery,WV,0,14,100.0,Critical Opportunity
North Plainfield,NJ,50,0,1.9079,High Opportunity
Munising,MI,100,0,0.954,Stable/Growing
East Ridge,TN,600,0,0.159,Saturated Market
Springfield,OH,600,0,0.159,Saturated Market
Dalton,WI,0,7,100.0,Critical Opportunity
Newnan,GA,200,35,0.477,Saturated Market
Sugar Grove,IL,0,7,100.0,Critical Opportunity
Blackwell,OK,300,0,0.318,Saturated Market
McGuire AFB,NJ,0,196,100.0,Critical Opportunity
Wyandanch,NY,0,56,100.0,Critical Opportunity
Dixon,CA,700,42,0.1363,Saturated Market
Moss Point,MS,0,42,100.0,Critical Opportunity
Dublin,GA,800,84,0.1192,Saturated Market
Kearny,NJ,800,147,0.1192,Saturated Market
Falfurrias,TX,950,0,0.1004,Saturated Market
Bartonville,TX,0,14,100.0,Critical Opportunity
Hopatcong,NJ,0,14,100.0,Critical Opportunity
Chatham,NY,0,70,100.0,Critical Opportunity
Cody,WY,0,7,100.0,Critical Opportunity
N Olmsted,OH,0,28,100.0,Critical Opportunity
Loch Sheldrake,NY,0,56,100.0,Critical Opportunity
West Carthage,NY,400,0,0.2385,Saturated Market
Clifton,TX,0,28,100.0,Critical Opportunity
Northfield,MN,200,84,0.477,Saturated Market
Merrillville,IN,400,28,0.2385,Saturated Market
Camden,AR,0,28,100.0,Critical Opportunity
Delanson,NY,0,28,100.0,Critical Opportunity
Southern Pines,NC,400,49,0.2385,Saturated Market
Anacortes,WA,300,105,0.318,Saturated Market
Byron,GA,300,0,0.318,Saturated Market
Waimea,HI,200,56,0.477,Saturated Market
Libertyville,IL,250,147,0.3816,Saturated Market
Thurmont,MD,0,14,100.0,Critical Opportunity
West Springfield,MA,250,140,0.3816,Saturated Market
North Kansas City,MO,0,42,100.0,Critical Opportunity
North Bend,WA,1300,42,0.0734,Saturated Market
Madeira,FL,0,70,100.0,Critical Opportunity
Clemmons,NC,600,0,0.159,Saturated Market
St Albans City,VT,0,98,100.0,Critical Opportunity
Dothan,AL,1100,42,0.0867,Saturated Market
Saint Johns,FL,0,112,100.0,Critical Opportunity
Weyers Cave,VA,0,28,100.0,Critical Opportunity
Solomons,MD,0,84,100.0,Critical Opportunity
Plano,IL,300,14,0.318,Saturated Market
Orange,CA,600,1253,0.159,Saturated Market
Kingsville,TX,100,28,0.954,Stable/Growing
Walled Lake,MI,0,7,100.0,Critical Opportunity
Los Altos,CA,1050,28,0.0909,Saturated Market
Houston,MN,0,14,100.0,Critical Opportunity
Glendale,WI,1000,98,0.0954,Saturated Market
South Glens Falls,NY,0,28,100.0,Critical Opportunity
GLADSTONE,OR,50,0,1.9079,High Opportunity
Jesup,GA,100,14,0.954,Stable/Growing
Corolla,NC,0,7,100.0,Critical Opportunity
GRAPEVINE,TX,50,0,1.9079,High Opportunity
Batesville,IN,200,14,0.477,Saturated Market
Mt Prospect,IL,200,0,0.477,Saturated Market
Lowell,NC,100,0,0.954,Stable/Growing
Sisters,OR,400,98,0.2385,Saturated Market
Flint Township,MI,100,0,0.954,Stable/Growing
South Miami,FL,0,28,100.0,Critical Opportunity
Guin,AL,1000,0,0.0954,Saturated Market
Lakewood,WA,200,84,0.477,Saturated Market
Washington DC,DC,0,84,100.0,Critical Opportunity
Burlington,WI,0,14,100.0,Critical Opportunity
Suttons Bay,MI,0,28,100.0,Critical Opportunity
Lakewood,NJ,400,140,0.2385,Saturated Market
Coatesville,PA,200,14,0.477,Saturated Market
Washington,DC,1150,4179,0.083,Saturated Market
Richmond,VA,2350,980,0.0406,Saturated Market
Crete,IL,0,28,100.0,Critical Opportunity
Bartlett,NH,0,63,100.0,Critical Opportunity
Long Beach,WA,0,119,100.0,Critical Opportunity
Belen,NM,500,0,0.1908,Saturated Market
Colorado City,CO,200,0,0.477,Saturated Market
Smithfield,RI,0,343,100.0,Critical Opportunity
Hainesport,NJ,0,7,100.0,Critical Opportunity
Elkhorn,NE,50,14,1.9079,High Opportunity
Fort Pierce,FL,3400,42,0.0281,Saturated Market
Ocean Township,NJ,250,56,0.3816,Saturated Market
Temple,TX,2900,91,0.0329,Saturated Market
Fryeburg,ME,0,7,100.0,Critical Opportunity
Madison,VA,0,14,100.0,Critical Opportunity
Stanford,CA,0,98,100.0,Critical Opportunity
Jamesburg,NJ,0,14,100.0,Critical Opportunity
Eastsound,WA,100,35,0.954,Stable/Growing
Huber Heights,OH,0,70,100.0,Critical Opportunity
Garden City,GA,100,91,0.954,Stable/Growing
Oak Park,MI,0,63,100.0,Critical Opportunity
Woodland Park,CO,0,14,100.0,Critical Opportunity
Orlando,FL,13100,4550,0.0073,Saturated Market
Roseville,MN,350,28,0.2726,Saturated Market
MARION,IN,50,0,1.9079,High Opportunity
Oracle,AZ,0,21,100.0,Critical Opportunity
Oak Hill,VA,0,140,100.0,Critical Opportunity
Summerville,SC,450,196,0.212,Saturated Market
Rome,NY,0,70,100.0,Critical Opportunity
Edon,OH,200,0,0.477,Saturated Market
Hardeeville,SC,0,14,100.0,Critical Opportunity
Hopkinton,RI,200,0,0.477,Saturated Market
Boca Raton,FL,2000,868,0.0477,Saturated Market
Ecorse,MI,0,14,100.0,Critical Opportunity
Medford,MA,1300,287,0.0734,Saturated Market
Waco,TX,650,336,0.1468,Saturated Market
Hampton,SC,0,14,100.0,Critical Opportunity
Upper Arlington,OH,0,42,100.0,Critical Opportunity
Page,AZ,200,14,0.477,Saturated Market
Friendswood,TX,50,28,1.9079,High Opportunity
Dobbs Ferry,NY,600,0,0.159,Saturated Market
LEXINGTON,TN,100,0,0.954,Stable/Growing
North Attleboro,MA,100,0,0.954,Stable/Growing
Round Lake Park,IL,200,0,0.477,Saturated Market
Douglas,MI,100,14,0.954,Stable/Growing
Taylorville,IL,100,0,0.954,Stable/Growing
Richfield,OH,0,28,100.0,Critical Opportunity
Uxbridge,MA,0,28,100.0,Critical Opportunity
Point Arena,CA,0,35,100.0,Critical Opportunity
FLEETWOOD,PA,50,0,1.9079,High Opportunity
Jeffersonville,IN,600,28,0.159,Saturated Market
Montgomery,PA,600,0,0.159,Saturated Market
Cumming,GA,1550,210,0.0615,Saturated Market
Sedalia,MO,200,14,0.477,Saturated Market
Mosier,OR,100,0,0.954,Stable/Growing
Coraopolis,PA,0,56,100.0,Critical Opportunity
Delmar,NY,0,210,100.0,Critical Opportunity
Monroe Charter Township,MI,0,14,100.0,Critical Opportunity
Jefferson City,TN,0,14,100.0,Critical Opportunity
Chelsea,AL,0,28,100.0,Critical Opportunity
Allentown,PA,1400,343,0.0681,Saturated Market
Tallmadge,OH,0,28,100.0,Critical Opportunity
Aventura,FL,400,357,0.2385,Saturated Market
Laramie,WY,50,70,1.9079,High Opportunity
MONTROSE,CO,50,0,1.9079,High Opportunity
Annandale,VA,0,28,100.0,Critical Opportunity
Georgetown,CA,0,14,100.0,Critical Opportunity
Woodstock,ME,0,14,100.0,Critical Opportunity
Warrenton,OR,600,42,0.159,Saturated Market
St. Louis Park,MN,300,196,0.318,Saturated Market
Bayfield,CO,0,14,100.0,Critical Opportunity
Jasper,AL,100,0,0.954,Stable/Growing
Boston,NY,0,7,100.0,Critical Opportunity
Springfield,TN,100,0,0.954,Stable/Growing
Rapid City,SD,300,49,0.318,Saturated Market
Pittsburgh,CA,0,14,100.0,Critical Opportunity
Coral Gables,FL,0,630,100.0,Critical Opportunity
Edison,NJ,1250,1484,0.0763,Saturated Market
Garland,TX,250,210,0.3816,Saturated Market
LONG BEACH,CA,0,28,100.0,Critical Opportunity
Blue Mountain Lake,NY,0,28,100.0,Critical Opportunity
Baldwinsville,NY,500,672,0.1908,Saturated Market
Claxton,GA,100,0,0.954,Stable/Growing
Westland,MI,100,56,0.954,Stable/Growing
Winter Park,FL,1100,168,0.0867,Saturated Market
Greene,ME,0,14,100.0,Critical Opportunity
Monroe,NY,0,105,100.0,Critical Opportunity
Belton,MO,600,0,0.159,Saturated Market
South Hadley,MA,0,98,100.0,Critical Opportunity
North Richlands Hills,TX,0,14,100.0,Critical Opportunity
Gilroy,CA,2050,105,0.0465,Saturated Market
Seatac,WA,0,14,100.0,Critical Opportunity
Bayonne,NJ,0,14,100.0,Critical Opportunity
Bluffton,SC,700,91,0.1363,Saturated Market
MARION,IL,100,0,0.954,Stable/Growing
Cortland,NY,900,294,0.106,Saturated Market
Crandall,TX,200,0,0.477,Saturated Market
Stoughton,MA,700,49,0.1363,Saturated Market
Waterbury,CT,200,896,0.477,Saturated Market
O'Fallon,MO,50,70,1.9079,High Opportunity
Belton,TX,0,28,100.0,Critical Opportunity
Covington,KY,0,35,100.0,Critical Opportunity
Cooperstown,NY,200,84,0.477,Saturated Market
Valdosta,GA,750,189,0.1272,Saturated Market
Litchfield,ME,0,42,100.0,Critical Opportunity
Lexington,SC,100,7,0.954,Stable/Growing
Carmel Hamlet,NY,0,77,100.0,Critical Opportunity
Cypress,CA,1300,616,0.0734,Saturated Market
South Amboy,NJ,0,42,100.0,Critical Opportunity
New Albany,OH,400,252,0.2385,Saturated Market
Fort Sumner,NM,200,0,0.477,Saturated Market
Pahrump,NV,500,14,0.1908,Saturated Market
Carthage,NC,0,14,100.0,Critical Opportunity
Wentzville,MO,100,14,0.954,Stable/Growing
Farmington,MO,300,14,0.318,Saturated Market
Lehighton,PA,0,70,100.0,Critical Opportunity
FENTON,MO,100,0,0.954,Stable/Growing
Terryville,CT,0,14,100.0,Critical Opportunity
New Port Ritchie,FL,0,14,100.0,Critical Opportunity
Saint Albans City,VT,0,35,100.0,Critical Opportunity
Versailles,OH,0,42,100.0,Critical Opportunity
Newtown,CT,0,70,100.0,Critical Opportunity
Chowchilla,CA,800,14,0.1192,Saturated Market
Wolcott,CT,0,14,100.0,Critical Opportunity
Fort Montgomery,NY,0,14,100.0,Critical Opportunity
Goodwell,OK,0,7,100.0,Critical Opportunity
Wahpeton,ND,200,0,0.477,Saturated Market
Olney,MD,200,14,0.477,Saturated Market
Mayfield,OH,50,77,1.9079,High Opportunity
Woodmere,OH,0,14,100.0,Critical Opportunity
Fargo,ND,1000,224,0.0954,Saturated Market
Sussex,NJ,350,7,0.2726,Saturated Market
Pinehurst,NC,0,168,100.0,Critical Opportunity
Quincy,MA,950,525,0.1004,Saturated Market
Spring Valley,NY,0,119,100.0,Critical Opportunity
Pecos,TX,50,0,1.9079,High Opportunity
Lake Stevens,WA,0,77,100.0,Critical Opportunity
Arden,NC,0,28,100.0,Critical Opportunity
Willits,CA,100,28,0.954,Stable/Growing
Wimberley,TX,0,28,100.0,Critical Opportunity
Sanford,NC,700,0,0.1363,Saturated Market
Papillion,NE,300,28,0.318,Saturated Market
Cinnaminson,NJ,200,14,0.477,Saturated Market
Dumfries,VA,0,14,100.0,Critical Opportunity
Byrdstown,TN,0,14,100.0,Critical Opportunity
Limestone,ME,0,28,100.0,Critical Opportunity
Wildwood,NJ,200,70,0.477,Saturated Market
Sanibel,FL,0,14,100.0,Critical Opportunity
Clarkston,WA,300,28,0.318,Saturated Market
East Greenwich,RI,300,98,0.318,Saturated Market
Hawhorne,CA,400,0,0.2385,Saturated Market
Esparto,CA,0,63,100.0,Critical Opportunity
Le Mars,IA,100,0,0.954,Stable/Growing
Tempe,AZ,1700,1022,0.0561,Saturated Market
High Springs,FL,0,7,100.0,Critical Opportunity
Bloomington,IN,950,329,0.1004,Saturated Market
Saint James,MN,0,14,100.0,Critical Opportunity
Monroe,LA,500,7,0.1908,Saturated Market
DENVER,CO,0,28,100.0,Critical Opportunity
McMurray,PA,100,0,0.954,Stable/Growing
Ozark,AR,0,14,100.0,Critical Opportunity
Brownsville,PA,100,0,0.954,Stable/Growing
Huron Charter Township,MI,100,0,0.954,Stable/Growing
Townsend,VT,0,7,100.0,Critical Opportunity
Mi-Wuk Village,CA,0,14,100.0,Critical Opportunity
Spiceland,IN,400,28,0.2385,Saturated Market
Kankakee,IL,0,224,100.0,Critical Opportunity
Conyers,GA,1000,133,0.0954,Saturated Market
Talkeetna,AK,50,21,1.9079,High Opportunity
Dinosaur,CO,100,0,0.954,Stable/Growing
Bridgeville,DE,0,28,100.0,Critical Opportunity
CHIPPEWA FALLS,WI,150,0,0.636,Stable/Growing
Inwood,NY,1000,7,0.0954,Saturated Market
Oregon,OH,800,0,0.1192,Saturated Market
Jurupa Valley,CA,1150,28,0.083,Saturated Market
Florence,KY,50,56,1.9079,High Opportunity
Charlton,MA,200,70,0.477,Saturated Market
Netarts,OR,0,14,100.0,Critical Opportunity
Columbia,MO,1700,84,0.0561,Saturated Market
Thornton,NH,400,0,0.2385,Saturated Market
Friant,CA,0,14,100.0,Critical Opportunity
Ambler,PA,0,98,100.0,Critical Opportunity
Selkirk,NY,0,0,100.0,Critical Opportunity
Hotchkiss,CO,50,14,1.9079,High Opportunity
Glendale,AZ,2700,294,0.0353,Saturated Market
old saybrook,CT,50,0,1.9079,High Opportunity
Fort Bliss,TX,0,350,100.0,Critical Opportunity
Crawford,CO,50,0,1.9079,High Opportunity
Folcroft,PA,200,0,0.477,Saturated Market
Martinsville,IN,0,84,100.0,Critical Opportunity
furlong,PA,0,14,100.0,Critical Opportunity
Johnston,RI,0,91,100.0,Critical Opportunity
Carneys Point Township,NJ,0,14,100.0,Critical Opportunity
Kingsland,GA,900,0,0.106,Saturated Market
SYCAMORE,IL,100,0,0.954,Stable/Growing
Hopkinton,MA,200,70,0.477,Saturated Market
Kennedy,NY,0,7,100.0,Critical Opportunity
Bardstown,KY,50,14,1.9079,High Opportunity
Fort Valley,GA,2750,0,0.0347,Saturated Market
Fort AP Hill,VA,0,42,100.0,Critical Opportunity
Milton,VT,0,14,100.0,Critical Opportunity
Visalia,CA,1850,434,0.0516,Saturated Market
Encinitas,CA,1950,259,0.0489,Saturated Market
Elmont,NY,0,196,100.0,Critical Opportunity
Ashfiled,MA,0,28,100.0,Critical Opportunity
Laurel,MD,1000,406,0.0954,Saturated Market
Rustburg,VA,600,0,0.159,Saturated Market
Pentwater,MI,0,14,100.0,Critical Opportunity
Falls Church,VA,500,231,0.1908,Saturated Market
4305 Park Road,NC,100,0,0.954,Stable/Growing
Houlton,ME,0,21,100.0,Critical Opportunity
Mayaguez,PR,0,14,100.0,Critical Opportunity
Fitchburg,MA,0,133,100.0,Critical Opportunity
Imperial Beach,CA,0,259,100.0,Critical Opportunity
Siler City,NC,50,0,1.9079,High Opportunity
Lawnside,NJ,1600,0,0.0596,Saturated Market
Kamas,UT,0,28,100.0,Critical Opportunity
Leadville,CO,50,14,1.9079,High Opportunity
Westlake,OH,0,28,100.0,Critical Opportunity
Arcadia,FL,100,0,0.954,Stable/Growing
Berwyn,PA,0,91,100.0,Critical Opportunity
Saline,MI,400,35,0.2385,Saturated Market
Tulare,CA,0,182,100.0,Critical Opportunity
