city,state,total_dc_fast_kw,total_level2_kw,stress_score,investment_category
Soda Springs,CA,600,0,0.159,Saturated Market
Canyon,TX,0,7,100.0,Critical Opportunity
Rumford,ME,400,14,0.2385,Saturated Market
Redding,CA,4200,525,0.0227,Saturated Market
Fort Drum,NY,0,196,100.0,Critical Opportunity
Walker,MI,500,28,0.1908,Saturated Market
Nuevo,CA,0,28,100.0,Critical Opportunity
Newport Beach,CA,1000,616,0.0954,Saturated Market
Delano,TN,0,14,100.0,Critical Opportunity
Little Rock,AR,750,518,0.1272,Saturated Market
Caledonia,MI,600,0,0.159,Saturated Market
Colmar,PA,0,28,100.0,Critical Opportunity
International Falls,MN,100,14,0.954,Stable/Growing
Stover,MO,0,21,100.0,Critical Opportunity
Hudson,OH,0,42,100.0,Critical Opportunity
Mount Vernon,IA,200,14,0.477,Saturated Market
Spanish Fort,AL,50,14,1.9079,High Opportunity
Birmingham,AL,4150,609,0.023,Saturated Market
Newberry,FL,0,7,100.0,Critical Opportunity
Springfield,IL,2450,105,0.0389,Saturated Market
Holden,MA,0,42,100.0,Critical Opportunity
Roseville,MI,0,35,100.0,Critical Opportunity
Hanover,NH,0,98,100.0,Critical Opportunity
Alma,MI,300,49,0.318,Saturated Market
Spring Hill,TN,100,0,0.954,Stable/Growing
Fernan Lake Village,ID,0,28,100.0,Critical Opportunity
Vestavia Hills,AL,100,42,0.954,Stable/Growing
Friendsville,MD,100,14,0.954,Stable/Growing
East Griffin,GA,0,14,100.0,Critical Opportunity
Mount Holly,NJ,100,0,0.954,Stable/Growing
Yorkville,NY,850,77,0.1122,Saturated Market
Cupertino,CA,0,315,100.0,Critical Opportunity
Langhorne,PA,250,77,0.3816,Saturated Market
Guilderland,NY,0,154,100.0,Critical Opportunity
Grand Island,NE,150,63,0.636,Stable/Growing
Slingerlands,NY,0,84,100.0,Critical Opportunity
Aventure,FL,200,0,0.477,Saturated Market
Bloomington,IL,150,70,0.636,Stable/Growing
Hopkins,MN,100,63,0.954,Stable/Growing
Boonville,NY,0,7,100.0,Critical Opportunity
Golden,CO,300,399,0.318,Saturated Market
Greensboro,GA,200,7,0.477,Saturated Market
Broomall,PA,300,0,0.318,Saturated Market
Southbridge,MA,200,70,0.477,Saturated Market
Jefferson City,MO,1000,42,0.0954,Saturated Market
Clairsville,OH,100,0,0.954,Stable/Growing
Incline Village,NV,50,28,1.9079,High Opportunity
Maspeth,NY,100,0,0.954,Stable/Growing
Woodhaven,MI,400,21,0.2385,Saturated Market
Hope Mills,NC,1400,0,0.0681,Saturated Market
St Francisville,LA,0,28,100.0,Critical Opportunity
Basking Ridge,NJ,0,49,100.0,Critical Opportunity
Tysons,VA,1300,154,0.0734,Saturated Market
Crossett,AR,0,7,100.0,Critical Opportunity
Guntersville,AL,100,28,0.954,Stable/Growing
Portales,NM,100,0,0.954,Stable/Growing
Longmont,CO,1350,378,0.0707,Saturated Market
SAN ANTONIO,TX,0,14,100.0,Critical Opportunity
Union,NJ,750,126,0.1272,Saturated Market
Drums,PA,600,0,0.159,Saturated Market
Adairsville,GA,600,0,0.159,Saturated Market
Conroe,TX,450,98,0.212,Saturated Market
Greenville,SC,2300,539,0.0415,Saturated Market
Pittston,PA,200,98,0.477,Saturated Market
Ocean City,MD,850,140,0.1122,Saturated Market
Hopkinsville,KY,0,14,100.0,Critical Opportunity
Lakeville,MN,100,28,0.954,Stable/Growing
White Sulphur Springs,WV,0,133,100.0,Critical Opportunity
Olancha,CA,950,0,0.1004,Saturated Market
Millcreek,UT,200,56,0.477,Saturated Market
Walton,KY,200,28,0.477,Saturated Market
Cameron,TX,0,14,100.0,Critical Opportunity
Oxford,MI,0,56,100.0,Critical Opportunity
Black Mountain,NC,0,56,100.0,Critical Opportunity
BELLINGHAM,WA,50,0,1.9079,High Opportunity
Silver Point,TN,0,14,100.0,Critical Opportunity
Freehold Township,NJ,100,42,0.954,Stable/Growing
